modelo,limiar,precisao_nao_alfabetizado,recall_nao_alfabetizado,f1_nao_alfabetizado,acuracia_balanceada,percentual_sinalizado
Floresta profundidade=10,0.475,0.6023456516928524,0.24242964018525115,0.34571664444021083,0.5649425084498624,16.61702518845376
Floresta profundidade=10,0.5,0.6163394919168591,0.1901496259351621,0.29063435883474,0.553457727729277,12.737635594778451
Floresta profundidade=10,0.525,0.6290322580645161,0.15283220520128252,0.24591573516766982,0.5447257412303149,10.03125574554146
Floresta profundidade=10,0.55,0.6495766698024459,0.12299608122550766,0.2068294144076681,0.5381686737936895,7.817613531899246
Floresta profundidade=10,0.575,0.6468510888758093,0.09788029925187032,0.1700317165622341,0.5301513978253465,6.247471961757676
Floresta profundidade=10,0.6,0.6891304347826087,0.05646597791236195,0.10437932169904511,0.519277017264567,3.3829748115462404
Floresta profundidade=10,0.625,0.6822157434402333,0.02084075525472034,0.04044594244231268,0.5070070877169199,1.2612612612612613
Floresta profundidade=10,0.65,0.36363636363636365,0.0003562522265764161,0.0007118071002758253,0.49995892400894804,0.04044861187718331
Floresta profundidade=10,0.675,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=10,0.7,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=10,0.725,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=10,0.75,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=10,0.775,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=10,0.8,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=10,0.825,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=10,0.85,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=10,0.875,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=10,0.9,0.0,0.0,0.0,0.5,0.0
Logística C=0.1,0.1,0.41287001287001285,1.0,0.5844416104937147,0.5,100.0
Logística C=0.1,0.125,0.4128851952636611,1.0,0.5844568216126178,0.5000313145863343,99.99632285346571
Logística C=0.1,0.15,0.4201532336813641,0.9963484146775917,0.5910603899191631,0.514708308923314,97.90770362198934
Logística C=0.1,0.175,0.4273467969262849,0.9856608478802993,0.5962020202020202,0.5284351086022653,95.22706379849237
Logística C=0.1,0.2,0.43254952932372287,0.9780904880655504,0.5998306797389191,0.5378959987143058,93.35907335907336
Logística C=0.1,0.225,0.43254952932372287,0.9780904880655504,0.5998306797389191,0.5378959987143058,93.35907335907336
Logística C=0.1,0.25,0.4358422081289139,0.9731920199501247,0.6020551530345188,0.5436825008625177,92.18974076116933
Logística C=0.1,0.275,0.44634636310370807,0.9498574991093695,0.6073116565115881,0.5606680869380379,87.86173929031071
Logística C=0.1,0.3,0.4478368250723897,0.936676166726042,0.6059575939156487,0.5622818423659646,86.35410921125207
Logística C=0.1,0.325,0.4538707670429295,0.9096009975062345,0.6055736732878743,0.5699755472907261,82.74315131457989
Logística C=0.1,0.35,0.47107680281414893,0.8587459921624511,0.6084048460373549,0.5903612844259365,75.26383526383526
Logística C=0.1,0.375,0.48389774236387784,0.7788564303526897,0.5969283276450512,0.5973570684361933,66.45339216767788
Logística C=0.1,0.4,0.49974269908658175,0.6919308870680442,0.5803391349816986,0.6024319056120581,57.16492002206288
Logística C=0.1,0.425,0.5081330420004856,0.5592269326683291,0.5324570701717193,0.5892834105942009,45.43849972421401
Logística C=0.1,0.45,0.5194992778045258,0.4804951905949412,0.4992365705825198,0.5839878094892411,38.18716675859533
Logística C=0.1,0.475,0.5384436431313249,0.41227288920555755,0.4669861286254729,0.5818801660282188,31.612428755285897
Logística C=0.1,0.5,0.5711107579850627,0.3200926255789099,0.410250556475087,0.5755282442731401,23.14028314028314
Logística C=0.1,0.525,0.5882352941176471,0.25115781973637336,0.35201597803020845,0.5637639164442498,17.628240485383344
Logística C=0.1,0.55,0.6072351421188631,0.20929818311364445,0.3112995098688568,0.5570509203286642,14.230557087699944
Logística C=0.1,0.575,0.6171875,0.17589953687210544,0.2737732187413363,0.5495894001765174,11.766868909726053
Logística C=0.1,0.6,0.647112323783538,0.12673672960456003,0.21196097415655024,0.539068245806852,8.086045228902371
Logística C=0.1,0.625,0.6398891966759003,0.06172069825436409,0.11258224352205345,0.5186476604567993,3.982349696635411
Logística C=0.1,0.65,0.6245791245791246,0.033042394014962596,0.06276433767552021,0.5095380442549292,2.1842250413678985
Logística C=0.1,0.675,0.6390977443609023,0.007570359814748842,0.01496347152539389,0.5022820797633273,0.4890604890604891
Logística C=0.1,0.7,0.7073170731707317,0.002582828642679017,0.005146863075694383,0.5009156392853278,0.15076300790586505
Logística C=0.1,0.725,0.7142857142857143,0.0008906305664410402,0.001779042874933286,0.5003200569378833,0.05148005148005148
Logística C=0.1,0.75,0.0,0.0,0.0,0.5,0.0
Logística C=0.1,0.775,0.0,0.0,0.0,0.5,0.0
Logística C=0.1,0.8,0.0,0.0,0.0,0.5,0.0
Logística C=0.1,0.825,0.0,0.0,0.0,0.5,0.0
Logística C=0.1,0.85,0.0,0.0,0.0,0.5,0.0
