ano,id_municipio,rede,taxa_alfabetizacao,meta_alfabetizacao_2024,meta_alfabetizacao_2025,nome_municipio,sigla_uf,nome_regiao,situacao_meta_2024,distancia_meta_2024_pp
2024,3122306,Municipal,73.79,67.23,69.63,Divinópolis,MG,Sudeste,Atingiu ou superou,6.560000000000002
2024,4200408,Municipal,72.41,67.24,69.64,Água Doce,SC,Sul,Atingiu ou superou,5.170000000000002
2024,3518305,Municipal,76.97,67.24,69.64,Guararema,SP,Sudeste,Atingiu ou superou,9.730000000000004
2024,3500402,Municipal,61.82,67.26,69.66,Águas da Prata,SP,Sudeste,Abaixo da meta,-5.440000000000005
2024,5107768,Municipal,62.63,67.26,69.66,Santa Rita do Trivelato,MT,Centro-Oeste,Abaixo da meta,-4.630000000000003
2024,3550803,Municipal,68.66,67.26,69.66,São Sebastião da Grama,SP,Sudeste,Atingiu ou superou,1.3999999999999915
2024,3131802,Municipal,83.44,67.27,69.66,Itabirinha,MG,Sudeste,Atingiu ou superou,16.17
2024,4207403,Municipal,79.52,67.27,69.66,Imbuia,SC,Sul,Atingiu ou superou,12.25
2024,2607406,Municipal,48.57,67.28,69.67,Itacuruba,PE,Nordeste,Abaixo da meta,-18.71
2024,4302659,Municipal,57.5,67.29,69.68,Brochier,RS,Sul,Abaixo da meta,-9.790000000000006
2024,3505104,Municipal,65.05,67.3,69.69,Barbosa,SP,Sudeste,Abaixo da meta,-2.25
2024,4200101,Municipal,59.88,67.3,69.69,Abelardo Luz,SC,Sul,Abaixo da meta,-7.419999999999995
2024,3505203,Municipal,72.3,67.3,69.69,Bariri,SP,Sudeste,Atingiu ou superou,5.0
2024,4316808,Municipal,43.8,67.32,69.7,Santa Cruz do Sul,RS,Sul,Abaixo da meta,-23.519999999999996
2024,3509908,Municipal,59.72,67.33,69.71,Cananéia,SP,Sudeste,Abaixo da meta,-7.609999999999999
2024,3158300,Municipal,87.45,67.34,69.72,Santana da Vargem,MG,Sudeste,Atingiu ou superou,20.11
2024,2108058,Municipal,68.89,67.34,69.72,Paulino Neves,MA,Nordeste,Atingiu ou superou,1.5499999999999972
2024,5205109,Municipal,76.88,67.35,69.73,Catalão,GO,Centro-Oeste,Atingiu ou superou,9.530000000000001
2024,4311106,Municipal,53.4,67.37,69.74,Jaguari,RS,Sul,Abaixo da meta,-13.970000000000006
2024,4105805,Municipal,60.67,67.38,69.76,Colombo,PR,Sul,Abaixo da meta,-6.709999999999994
2024,2605152,Municipal,83.37,67.39,69.76,Dormentes,PE,Nordeste,Atingiu ou superou,15.980000000000004
2024,4217709,Municipal,49.72,67.39,69.76,Sombrio,SC,Sul,Abaixo da meta,-17.67
2024,3118304,Municipal,82.19,67.43,69.8,Conselheiro Lafaiete,MG,Sudeste,Atingiu ou superou,14.759999999999991
2024,4100608,Municipal,70.12,67.45,69.81,Alto Paraná,PR,Sul,Atingiu ou superou,2.6700000000000017
2024,5204201,Municipal,64.29,67.45,69.81,Cachoeira de Goiás,GO,Centro-Oeste,Abaixo da meta,-3.1599999999999966
2024,2401651,Municipal,60.0,67.45,69.81,Bodó,RN,Nordeste,Abaixo da meta,-7.450000000000003
2024,3302254,Municipal,67.6,67.45,69.81,Itatiaia,RJ,Sudeste,Atingiu ou superou,0.14999999999999147
2024,4108700,Municipal,61.6,67.46,69.82,Grandes Rios,PR,Sul,Abaixo da meta,-5.859999999999992
2024,2912004,Municipal,61.19,67.46,69.82,Ibiassucê,BA,Nordeste,Abaixo da meta,-6.269999999999996
2024,4101101,Municipal,64.82,67.47,69.82,Andirá,PR,Sul,Abaixo da meta,-2.6500000000000057
2024,3528007,Municipal,62.4,67.48,69.83,Macatuba,SP,Sudeste,Abaixo da meta,-5.080000000000005
2024,3544004,Municipal,58.5,67.48,69.84,Rio das Pedras,SP,Sudeste,Abaixo da meta,-8.980000000000004
2024,2703304,Municipal,83.03,67.49,69.84,Inhapi,AL,Nordeste,Atingiu ou superou,15.540000000000006
2024,1100205,Municipal,50.84,67.5,69.85,Porto Velho,RO,Norte,Abaixo da meta,-16.659999999999997
2024,4219853,Municipal,57.58,67.5,69.85,Zortéa,SC,Sul,Abaixo da meta,-9.920000000000002
2024,3505351,Municipal,65.29,67.5,69.85,Barra do Chapéu,SP,Sudeste,Abaixo da meta,-2.2099999999999937
2024,4309050,Municipal,34.3,67.53,69.87,Glorinha,RS,Sul,Abaixo da meta,-33.230000000000004
2024,3523404,Municipal,73.47,67.53,69.88,Itatiba,SP,Sudeste,Atingiu ou superou,5.939999999999998
2024,1101005,Municipal,70.76,67.54,69.88,Governador Jorge Teixeira,RO,Norte,Atingiu ou superou,3.219999999999999
2024,4206108,Municipal,70.23,67.57,69.91,Grão Pará,SC,Sul,Atingiu ou superou,2.660000000000011
2024,4107702,Municipal,61.86,67.58,69.92,Fênix,PR,Sul,Abaixo da meta,-5.719999999999999
2024,3553401,Municipal,74.07,67.59,69.92,Tanabi,SP,Sudeste,Atingiu ou superou,6.47999999999999
2024,2111029,Municipal,70.68,67.59,69.92,São João do Carú,MA,Nordeste,Atingiu ou superou,3.0900000000000034
2024,3110608,Municipal,81.94,67.59,69.92,Cambuí,MG,Sudeste,Atingiu ou superou,14.349999999999994
2024,5103700,Municipal,51.15,67.6,69.93,Feliz Natal,MT,Centro-Oeste,Abaixo da meta,-16.449999999999996
2024,5000807,Municipal,80.11,67.61,69.94,Anaurilândia,MS,Centro-Oeste,Atingiu ou superou,12.5
2024,3138625,Municipal,59.7,67.61,69.94,Limeira do Oeste,MG,Sudeste,Abaixo da meta,-7.909999999999997
2024,3152006,Municipal,56.14,67.62,69.94,Pompéu,MG,Sudeste,Abaixo da meta,-11.480000000000004
2024,1600535,Municipal,73.42,67.62,69.95,Porto Grande,AP,Norte,Atingiu ou superou,5.799999999999997
2024,5204904,Municipal,75.75,67.62,69.95,Campos Belos,GO,Centro-Oeste,Atingiu ou superou,8.129999999999995
2024,3523909,Municipal,61.67,67.66,69.98,Itu,SP,Sudeste,Abaixo da meta,-5.989999999999995
2024,2607703,Municipal,89.12,67.68,70.0,Itapetim,PE,Nordeste,Atingiu ou superou,21.439999999999998
2024,2604007,Municipal,59.18,67.68,70.0,Carpina,PE,Nordeste,Abaixo da meta,-8.500000000000007
2024,3303401,Municipal,68.84,67.69,70.0,Nova Friburgo,RJ,Sudeste,Atingiu ou superou,1.1500000000000057
2024,3201209,Municipal,71.69,67.7,70.01,Cachoeiro de Itapemirim,ES,Sudeste,Atingiu ou superou,3.989999999999995
2024,2202455,Municipal,77.36,67.7,70.01,Capitão Gervásio Oliveira,PI,Nordeste,Atingiu ou superou,9.659999999999997
2024,3155801,Municipal,78.55,67.71,70.01,Rio Pomba,MG,Sudeste,Atingiu ou superou,10.840000000000003
2024,3302106,Municipal,70.09,67.71,70.01,Itaocara,RJ,Sudeste,Atingiu ou superou,2.3800000000000097
2024,4316907,Municipal,39.7,67.72,70.02,Santa Maria,RS,Sul,Abaixo da meta,-28.019999999999996
2024,3120904,Municipal,71.71,67.73,70.03,Curvelo,MG,Sudeste,Atingiu ou superou,3.9799999999999898
2024,5107883,Municipal,94.74,67.73,70.03,Serra Nova Dourada,MT,Centro-Oeste,Atingiu ou superou,27.00999999999999
2024,3145901,Municipal,81.33,67.76,70.05,Ouro Branco,MG,Sudeste,Atingiu ou superou,13.569999999999993
2024,3159407,Municipal,88.22,67.77,70.06,Santa Rita de Ibitipoca,MG,Sudeste,Atingiu ou superou,20.450000000000003
2024,5008404,Municipal,53.73,67.77,70.06,Vicentina,MS,Centro-Oeste,Abaixo da meta,-14.04
2024,2502300,Municipal,45.24,67.77,70.07,Bom Sucesso,PB,Nordeste,Abaixo da meta,-22.529999999999994
2024,4205431,Municipal,76.76,67.78,70.07,Formosa do Sul,SC,Sul,Atingiu ou superou,8.980000000000004
2024,4318002,Municipal,46.4,67.78,70.07,São Borja,RS,Sul,Abaixo da meta,-21.380000000000003
2024,3306206,Municipal,60.33,67.8,70.09,Vassouras,RJ,Sudeste,Abaixo da meta,-7.469999999999999
2024,3515186,Municipal,61.16,67.8,70.09,Espírito Santo do Pinhal,SP,Sudeste,Abaixo da meta,-6.640000000000001
2024,5215504,Municipal,90.09,67.81,70.09,Ouvidor,GO,Centro-Oeste,Atingiu ou superou,22.28
2024,2505907,Municipal,38.1,67.81,70.1,Emas,PB,Nordeste,Abaixo da meta,-29.71
2024,2101608,Municipal,64.05,67.82,70.11,Barra do Corda,MA,Nordeste,Abaixo da meta,-3.769999999999996
2024,3147907,Municipal,86.17,67.82,70.11,Passos,MG,Sudeste,Atingiu ou superou,18.35000000000001
2024,3140209,Municipal,59.26,67.84,70.12,Maripá de Minas,MG,Sudeste,Abaixo da meta,-8.580000000000005
2024,3164704,Municipal,81.09,67.85,70.13,São Sebastião do Paraíso,MG,Sudeste,Atingiu ou superou,13.240000000000009
2024,3538501,Municipal,69.56,67.86,70.13,Piquete,SP,Sudeste,Atingiu ou superou,1.7000000000000028
2024,3108404,Municipal,87.53,67.86,70.13,Botelhos,MG,Sudeste,Atingiu ou superou,19.67
