id_municipio,nome_municipio,sigla_uf,nome_regiao,qtd_alunos,qtd_nao_alfabetizados,taxa_nao_alfabetizacao_amostra,escore_medio_modelo,proporcao_sinalizada
2107100,Morros,MA,Nordeste,25,14,0.56,0.4243442994502441,1.0
2107209,Nina Rodrigues,MA,Nordeste,13,7,0.5384615384615384,0.39586896677498606,1.0
2107258,Nova Colinas,MA,Nordeste,6,2,0.3333333333333333,0.45084915766217915,1.0
2107308,Nova Iorque,MA,Nordeste,3,1,0.3333333333333333,0.37000175261995283,1.0
2107357,Nova Olinda do Maranhão,MA,Nordeste,16,4,0.25,0.44167349925187926,1.0
2107407,Olho d'Água das Cunhãs,MA,Nordeste,13,6,0.46153846153846156,0.3826123535520441,1.0
2107456,Olinda Nova do Maranhão,MA,Nordeste,6,3,0.5,0.4460168184172943,1.0
2107506,Paço do Lumiar,MA,Nordeste,148,65,0.4391891891891892,0.4273233831556976,1.0
2107605,Palmeirândia,MA,Nordeste,6,4,0.6666666666666666,0.45705456081375145,1.0
2107704,Paraibano,MA,Nordeste,31,6,0.1935483870967742,0.37597521107341203,1.0
2107803,Parnarama,MA,Nordeste,33,14,0.42424242424242425,0.4003861091096671,1.0
2107902,Passagem Franca,MA,Nordeste,18,8,0.4444444444444444,0.4021842632087611,1.0
2108009,Pastos Bons,MA,Nordeste,24,7,0.2916666666666667,0.41281091878715764,1.0
2108058,Paulino Neves,MA,Nordeste,14,4,0.2857142857142857,0.4204131304396294,1.0
2108108,Paulo Ramos,MA,Nordeste,19,1,0.05263157894736842,0.39899343066999904,1.0
2108207,Pedreiras,MA,Nordeste,28,9,0.32142857142857145,0.38567633750020125,1.0
2108256,Pedro do Rosário,MA,Nordeste,8,3,0.375,0.5120415701479488,1.0
2108306,Penalva,MA,Nordeste,46,17,0.3695652173913043,0.5019313594462513,1.0
2108405,Peri Mirim,MA,Nordeste,10,3,0.3,0.45659167819334384,1.0
2108454,Peritoró,MA,Nordeste,30,12,0.4,0.36398401743462167,1.0
2108504,Pindaré-Mirim,MA,Nordeste,49,24,0.4897959183673469,0.42061558262989673,1.0
2108603,Pinheiro,MA,Nordeste,53,35,0.660377358490566,0.4435197389735827,1.0
2108702,Pio XII,MA,Nordeste,21,8,0.38095238095238093,0.42381972989451855,1.0
2108801,Pirapemas,MA,Nordeste,6,5,0.8333333333333334,0.4013857532185383,1.0
2108900,Poção de Pedras,MA,Nordeste,6,1,0.16666666666666666,0.399971303936705,1.0
2109007,Porto Franco,MA,Nordeste,35,12,0.34285714285714286,0.4157352826054722,1.0
2109056,Porto Rico do Maranhão,MA,Nordeste,6,3,0.5,0.46433772119711114,1.0
2109106,Presidente Dutra,MA,Nordeste,55,28,0.509090909090909,0.3925998969556318,1.0
2109205,Presidente Juscelino,MA,Nordeste,9,3,0.3333333333333333,0.3883967408217177,1.0
2109239,Presidente Médici,MA,Nordeste,6,0,0.0,0.41804578806077536,1.0
2109270,Presidente Sarney,MA,Nordeste,19,9,0.47368421052631576,0.4672527505407006,1.0
2109304,Presidente Vargas,MA,Nordeste,7,2,0.2857142857142857,0.3905223544506815,1.0
2109403,Primeira Cruz,MA,Nordeste,7,3,0.42857142857142855,0.4806780168450337,1.0
2109452,Raposa,MA,Nordeste,42,23,0.5476190476190477,0.4747503776160921,1.0
2109502,Riachão,MA,Nordeste,31,10,0.3225806451612903,0.4682209094833243,1.0
2109551,Ribamar Fiquene,MA,Nordeste,5,3,0.6,0.4337584586593134,1.0
2109601,Rosário,MA,Nordeste,23,11,0.4782608695652174,0.4491009516529877,1.0
2109700,Sambaíba,MA,Nordeste,6,0,0.0,0.4486398675382286,1.0
2109759,Santa Filomena do Maranhão,MA,Nordeste,7,5,0.7142857142857143,0.4171963076281572,1.0
2109809,Santa Helena,MA,Nordeste,20,4,0.2,0.47655824208357866,1.0
2109908,Santa Inês,MA,Nordeste,77,42,0.5454545454545454,0.4073602940382908,1.0
2110005,Santa Luzia,MA,Nordeste,65,22,0.3384615384615385,0.4145178956617942,1.0
2110039,Santa Luzia do Paruá,MA,Nordeste,23,3,0.13043478260869565,0.44399415188145086,1.0
2110104,Santa Quitéria do Maranhão,MA,Nordeste,20,3,0.15,0.39593806690960764,1.0
2110203,Santa Rita,MA,Nordeste,31,11,0.3548387096774194,0.43068166543445324,1.0
2110237,Santana do Maranhão,MA,Nordeste,8,4,0.5,0.415136696433303,1.0
2110278,Santo Amaro do Maranhão,MA,Nordeste,16,7,0.4375,0.4918471953610625,1.0
2110302,Santo Antônio dos Lopes,MA,Nordeste,8,2,0.25,0.3930092388021186,1.0
